mem: 94896371403675, value: 0
mem: 94896371403674, value: 0
mem: 94896371403673, value: 0
mem: 94896371403672, value: 0
mem: 94896371403671, value: 0
mem: 94896371403670, value: 0
mem: 94896371403669, value: 0
mem: 94896371403668, value: 0
mem: 94896371403667, value: 0
mem: 94896371403666, value: 0
mem: 94896371403665, value: 0
mem: 94896371403664, value: 0
mem: 94896371403663, value: 0
mem: 94896371403662, value: 0
mem: 94896371403661, value: 0
mem: 94896371403660, value: 0
mem: 94896371403659, value: 0
mem: 94896371403658, value: 0
mem: 94896371403657, value: 0
mem: 94896371403656, value: 0
mem: 94896371403655, value: 0
mem: 94896371403654, value: 0
mem: 94896371403653, value: 0
mem: 94896371403652, value: 0
mem: 94896371403651, value: 0
mem: 94896371403650, value: 0
mem: 94896371403649, value: 0
mem: 94896371403648, value: 0
mem: 94896371403647, value: 0
mem: 94896371403646, value: 0
mem: 94896371403645, value: 0
mem: 94896371403644, value: 0
mem: 94896371403643, value: 0
mem: 94896371403642, value: 0
mem: 94896371403641, value: 0
mem: 94896371403640, value: 0
mem: 94896371403639, value: 0
mem: 94896371403638, value: 0
mem: 94896371403637, value: 0
mem: 94896371403636, value: 0
mem: 94896371403635, value: 0
mem: 94896371403634, value: 0
mem: 94896371403633, value: 0
mem: 94896371403632, value: 0
mem: 94896371403631, value: 0
mem: 94896371403630, value: 0
mem: 94896371403629, value: 0
mem: 94896371403628, value: 0
mem: 94896371403627, value: 0
